"n","variable_j","variable_k","truth","mean_estimate","bias","mcse_bias","rmse","mcse_rmse","mean_absolute_error","median_absolute_error","abs_error_gt_0_5","abs_error_gt_0_75"
50,"V1","V2",0.536231884057971,0.447697266919576,-0.0885346171383947,0.00519229102752908,0.377638516465842,0.00475365263460722,0.290979351786087,0.244976990219164,0.1394,0.0612
50,"V1","V3",0.422555638024197,0.358713979138968,-0.0638416588852284,0.00523192446757996,0.375384539569616,0.00388663641996006,0.303086328468531,0.268849096810947,0.145,0.05
50,"V2","V3",0.422555638024197,0.361671606558281,-0.0608840314659157,0.00506754101762548,0.363429560083052,0.00395748472853987,0.290106473651587,0.254408486837752,0.134,0.0424
50,"V1","V4",0.181159420289855,0.168387493942793,-0.0127719263470625,0.00520838175549796,0.368472790606205,0.00321791588795156,0.301078799141886,0.264767599988103,0.1924,0.0282
50,"V2","V4",0.181159420289855,0.17535771620446,-0.00580170408539455,0.00498599038717685,0.3525752407292,0.00324220336904004,0.284755524539505,0.247640702628535,0.1662,0.0252
50,"V3","V4",0.366746402813454,0.328637585312627,-0.038108817500827,0.00446153601848795,0.31774029472038,0.00314686747079036,0.255907471873397,0.222041682490755,0.1048,0.0194
50,"V1","V5",0.181159420289855,0.172031975047314,-0.00912744524254065,0.00476490124309896,0.33701932475042,0.00304085868905489,0.273188711349603,0.234293610758377,0.1454,0.0154
50,"V2","V5",0.181159420289855,0.180530136366323,-0.000629283923532315,0.00460477967330465,0.325575139101276,0.00302102491464273,0.263541256218667,0.227263331957316,0.1326,0.0132
50,"V3","V5",0.366746402813454,0.335210923721261,-0.0315354790921925,0.00420510756142988,0.298984032229055,0.0030319440620243,0.240040749322547,0.209071971491356,0.086,0.0126
50,"V4","V5",0.536231884057971,0.496605071020685,-0.0396268130372855,0.00347686403708899,0.249000227690605,0.00283425106785013,0.197619041624817,0.169183155177963,0.0422,0.006
100,"V1","V2",0.536231884057971,0.522257655308712,-0.013974228749259,0.00430518061122519,0.304712397131111,0.00334673370330667,0.247312540388052,0.222894154045981,0.07,0.0166
100,"V1","V3",0.422555638024197,0.41183642089423,-0.0107192171299664,0.00444256781648605,0.314288417265835,0.00304311981541129,0.255103886919815,0.222731466952708,0.0986,0.0154
100,"V2","V3",0.422555638024197,0.424090357727326,0.00153471970312921,0.00411377443201278,0.290862738438425,0.00278884890272083,0.23698711177613,0.208255875628448,0.0714,0.0096
100,"V1","V4",0.181159420289855,0.187386146139566,0.00622672584971089,0.00410477941965866,0.290289499157289,0.00283268272168275,0.231661557471978,0.196099071631125,0.0876,0.007
100,"V2","V4",0.181159420289855,0.184873227032519,0.0037138067426635,0.00392987951739788,0.277881473858581,0.00270136045518371,0.223112238925489,0.189741666290569,0.0742,0.0066
100,"V3","V4",0.366746402813454,0.371404841480746,0.004658438667292,0.00364014736393047,0.257413703080538,0.00247597443031916,0.206785217870362,0.175075161712756,0.0498,0.0026
100,"V1","V5",0.181159420289855,0.19048552474253,0.0093261044526755,0.00378637334410511,0.267872647177553,0.00272548658960921,0.212861702537973,0.178551869918796,0.0642,0.0048
100,"V2","V5",0.181159420289855,0.18341153256799,0.00225211227813489,0.00351929407451299,0.248836975736006,0.00247755456087552,0.198586605463699,0.166905098629026,0.0488,0.0026
100,"V3","V5",0.366746402813454,0.367521072743343,0.000774669929889382,0.00328079691211559,0.231965468071991,0.00223447619975172,0.186146555339235,0.158056437234237,0.0326,8e-04
100,"V4","V5",0.536231884057971,0.535770201201479,-0.000461682856491639,0.00263010320806849,0.185958355912381,0.0017825172534217,0.149850289298582,0.126598251955776,0.0062,0
250,"V1","V2",0.536231884057971,0.557575803078354,0.021343919020383,0.00307909634859013,0.218747008355155,0.00186364984260039,0.17923710112582,0.155662282980489,0.0094,0
250,"V1","V3",0.422555638024197,0.439979906418212,0.0174242683940151,0.00312563188383185,0.221679292944841,0.00205728393488515,0.179632708139394,0.155196622446773,0.0202,4e-04
250,"V2","V3",0.422555638024197,0.438679569868702,0.0161239318445052,0.00286135226252698,0.20294944615026,0.00197063334574495,0.162212305174674,0.135469913564743,0.013,2e-04
250,"V1","V4",0.181159420289855,0.187389724465159,0.00623030417530376,0.00274990184949944,0.194527776009847,0.00200817906745358,0.154700351622258,0.129703023564428,0.0128,0
250,"V2","V4",0.181159420289855,0.18722882497284,0.00606940468298455,0.00250922162960536,0.177514808994676,0.00185656799677062,0.141207362166324,0.119722801325027,0.0066,0
250,"V3","V4",0.366746402813454,0.371977560822017,0.0052311580085635,0.0024161520530703,0.170910739689307,0.00178002265457899,0.135387539478333,0.114145465202422,0.0042,0
250,"V1","V5",0.181159420289855,0.188113701422769,0.00695428113291439,0.00246798955519071,0.17463428436674,0.00186414117543789,0.138414840114936,0.115698857010826,0.0054,0
250,"V2","V5",0.181159420289855,0.185670645131238,0.00451122484138341,0.0022530422837292,0.159362080217961,0.0017006119087091,0.126471187751902,0.107948030943961,0.0032,0
250,"V3","V5",0.366746402813454,0.375144398820165,0.00839799600671134,0.00214830514648835,0.152124903070037,0.00156353934598863,0.120562030118458,0.100261474259033,0.0016,0
250,"V4","V5",0.536231884057971,0.542578946074103,0.00634706201613182,0.00172226835524312,0.121935886535951,0.00122549413681136,0.0972027153563115,0.0824249937485747,0,0
