"n","variable_j","variable_k","truth","mean_estimate","bias","mcse_bias","rmse","mcse_rmse","mean_absolute_error","median_absolute_error","abs_error_gt_0_5","abs_error_gt_0_75"
50,"V1","V2",0.434680277895931,0.383701233473287,-0.0509790444226439,0.0069397355779718,0.493305536661805,0.00508936110843929,0.396880584732345,0.359830036412193,0.224,0.123
50,"V1","V3",0.230973982755192,0.212460653230504,-0.0185133295246875,0.00723504904920302,0.511878961432499,0.00388507782753042,0.432525410048369,0.421516095401216,0.4038,0.1194
50,"V2","V3",0.230973982755192,0.212763361897499,-0.0182106208576929,0.00715100086306992,0.505929398846136,0.0038219387835654,0.427700928687484,0.411025596375414,0.3974,0.1144
50,"V1","V4",0.0117994841105887,0.0164157108165506,0.00461622670596195,0.00725608090398003,0.513051858260384,0.00335687533504926,0.44068024500155,0.434067702267046,0.432,0.1622
50,"V2","V4",0.0117994841105887,0.0227198839610075,0.0109203998504188,0.00710337135985995,0.50235268549955,0.00331493362310287,0.431857915545817,0.421204195515087,0.4126,0.1444
50,"V3","V4",0.185400227563884,0.164095258727753,-0.0213049688361308,0.00684020089303883,0.48409591470544,0.00348779442156685,0.412108044181769,0.401313731105074,0.3822,0.0918
50,"V1","V5",0.0117994841105887,0.012353639282958,0.000554155172369309,0.00698308578927973,0.493729662166471,0.00327389610539602,0.424113753754729,0.412554448151061,0.4076,0.124
50,"V2","V5",0.0117994841105887,0.0265058753297623,0.0147063912191736,0.00694821959801977,0.491484260275585,0.00325577938262479,0.421198296146841,0.412163919627063,0.4044,0.1232
50,"V3","V5",0.185400227563884,0.171450455269812,-0.0139497722940722,0.00660806893443628,0.467422512063041,0.00345341625306088,0.39566455572887,0.377536981012143,0.3546,0.082
50,"V4","V5",0.463438620849242,0.445677629556216,-0.0177609912930255,0.00552256100875222,0.390868717869015,0.00413068295843416,0.31492936358846,0.285020172351978,0.1426,0.0646
100,"V1","V2",0.434680277895931,0.479417437677503,0.0447371597815726,0.0078123905373773,0.554172905835287,0.0051320113014672,0.464795623462759,0.468237473038487,0.4186,0.1292
100,"V1","V3",0.230973982755192,0.206302025039052,-0.0246719577161396,0.0090493657185788,0.640298300810321,0.00422997664405041,0.554838444545264,0.587348125517718,0.5764,0.2098
100,"V2","V3",0.230973982755192,0.243714341174817,0.0127403584196259,0.00877752615330735,0.620733516597309,0.00410878865863202,0.539450576051096,0.571851734870976,0.5618,0.1826
100,"V1","V4",0.0117994841105887,-0.0127869789538421,-0.0245864630644308,0.00879592680079518,0.622389562301995,0.00360350479064044,0.544194430423124,0.577844902455767,0.5584,0.3476
100,"V2","V4",0.0117994841105887,-0.0166459828846226,-0.0284454669952113,0.00877710140433495,0.621224317290788,0.00358420216585908,0.544384435741573,0.577302750280009,0.5596,0.3432
100,"V3","V4",0.185400227563884,0.201615251735395,0.0162150241715116,0.00828417363497587,0.585945358841774,0.00387968200312158,0.506299462575928,0.517214549250852,0.5182,0.2146
100,"V1","V5",0.0117994841105887,0.0153864542045103,0.00358697009392161,0.00857032401556094,0.605963435001837,0.00359236254566671,0.527873897950425,0.549518848421037,0.5428,0.3182
100,"V2","V5",0.0117994841105887,-0.0272473143876235,-0.0390467984982122,0.00846999130741453,0.600130548679702,0.00359681529482827,0.521763759526899,0.536866525499014,0.5302,0.3106
100,"V3","V5",0.185400227563884,0.163153970807113,-0.0222462567567712,0.00813846340961926,0.57584858661073,0.00391821834742294,0.493504973613464,0.494349020326301,0.495,0.202
100,"V4","V5",0.463438620849242,0.483796766749331,0.0203581459000894,0.00624397159318765,0.44194046341776,0.00458671969565118,0.358785589436093,0.337761609306379,0.1814,0.0842
250,"V1","V2",0.434680277895931,0.498247628928564,0.0635673510326328,0.00593079196328671,0.424119205392688,0.00514552373285427,0.331208589495711,0.284614235423816,0.2714,0.0464
250,"V1","V3",0.230973982755192,0.225054358180266,-0.00591962457492533,0.00752178786619197,0.531850475399212,0.00506985453894772,0.419768529498484,0.339167815123424,0.343,0.1818
250,"V2","V3",0.230973982755192,0.204738161422173,-0.0262358213330187,0.00755667325856283,0.534927816339433,0.0052534688852333,0.415632485269854,0.313101943865051,0.3394,0.1782
250,"V1","V4",0.0117994841105887,-0.0103070631912187,-0.0221065473018074,0.00733058520780715,0.518770044816317,0.00451992788871982,0.40971877699993,0.313785835699017,0.3348,0.21
250,"V2","V4",0.0117994841105887,-0.00242293548884208,-0.0142224195994308,0.0072281806712771,0.511256305297612,0.00451610514318113,0.401745828141818,0.306290064426288,0.33,0.2
250,"V3","V4",0.185400227563884,0.192739642104501,0.00733941454061673,0.00678878116092743,0.480047422356338,0.00476084864022978,0.371027624851837,0.277790828200415,0.2906,0.161
250,"V1","V5",0.0117994841105887,0.0076178022240815,-0.0041816818865072,0.00718254230955494,0.507848863041068,0.00455555296536319,0.396839834923751,0.299040584017127,0.3202,0.2016
250,"V2","V5",0.0117994841105887,-0.00990540525404298,-0.0217048893646317,0.00705547964458175,0.499319824866641,0.00458879164712158,0.386624268697086,0.28310864026125,0.3056,0.1988
250,"V3","V5",0.185400227563884,0.18742752244258,0.00202729487869598,0.00667892271447021,0.47222827641431,0.00485137661156745,0.358889661927331,0.257960293371897,0.2742,0.158
250,"V4","V5",0.463438620849242,0.483601597970495,0.0201629771212527,0.00520247443730325,0.368385913493024,0.00594248967611672,0.255516143561024,0.174101910450602,0.1324,0.0528
