"scenario_id","n","replicates","failures","warnings","unexplained_nonfinite","raw_negative_variance_count","raw_negative_variance_rate","projection_count","projection_rate","floor_count","floor_rate","min_eigen_min","min_eigen_q05","min_eigen_median","min_eigen_q95","mean_M1","mean_M2","median_M1","median_M2","mean_cor_M1_M2","mean_cor_M1_P1","mean_cor_M2_P2"
"S1",50,5000,0,162,0,2,4e-04,66,0.0132,101,0.0202,-0.00298721479508539,0.00152355553982349,0.00665043334242252,0.0129391840927583,19.98556,20.007212,20,20,0.00120258276203728,0.00138142981285964,0.00447678257323776
"S1",100,5000,0,6,0,0,0,1,2e-04,2,4e-04,-0.000139983226895545,0.00330284099205204,0.00703530086319984,0.0115369265979228,20.002176,20.00299,20,20,0.00161096089635877,-0.000593900793544498,-0.00142605750314186
"S1",250,5000,0,0,0,0,0,0,0,0,0,0.00198279262421452,0.00482564923399261,0.00730095249010453,0.0100840805641497,20.0007648,20.0026512,20,20,0.00161579025213213,-0.00147009901909081,9.93079231644182e-05
"S1",500,5000,0,0,0,0,0,0,0,0,0,0.00385050589806156,0.00564973715907533,0.00741675244543543,0.00933723109900017,20.0006984,20.0047168,20,20,3.5350890372424e-05,0.00092132175071445,0.000585656033199065
"S2",50,5000,0,1729,0,372,0.0744,1021,0.2042,1096,0.2192,-0.0406452383102699,-0.00853485311918945,0.00547313323146486,0.0142895731418671,3.996928,21.984912,4,22,0.00169109174738382,0.00287736432550794,0.00352250899604822
"S2",100,5000,0,1056,0,109,0.0218,488,0.0976,505,0.101,-0.0216200920755674,-0.00221011814489973,0.00651935429929946,0.0130659981098705,4.00042,21.998792,4,22,0.000247247097332976,-0.00066481415689225,-0.000318687751292553
"S2",250,5000,0,208,0,8,0.0016,85,0.017,85,0.017,-0.00679888634339096,0.00183492988921743,0.00713228501374827,0.0112568125547914,3.9997704,22.0009832,4,22,-0.000342001797344588,0.00132002691999782,0.000453663133716411
"S2",500,5000,0,17,0,0,0,8,0.0016,8,0.0016,-0.00152441958391652,0.00395541847857647,0.00734665322075776,0.0103115819079981,3.9990448,21.994028,4,22,4.33827887488172e-05,0.000514906814208778,-0.000552941456920532
"S3",50,5000,0,690,0,7,0.0014,306,0.0612,407,0.0814,-0.00678127702087571,-0.000321772705311848,0.00611077439474382,0.0141579712622346,9.268032,17.22986,9,17,0.108339978290974,0.585569598508944,-0.365924682225605
"S3",100,5000,0,108,0,0,0,39,0.0078,43,0.0086,-0.00413522232489804,0.00195096354152748,0.00683068210017048,0.0125320679569369,9.269938,17.22029,9,17,0.111455118222731,0.589028429572097,-0.365706090943831
"S3",250,5000,0,1,0,0,0,0,0,0,0,0.000406637816343492,0.00401854556486421,0.00720898547074697,0.0106536479550629,9.279276,17.2289824,9,17,0.109219589207144,0.59294614379506,-0.364150262131041
"S3",500,5000,0,0,0,0,0,0,0,0,0,0.00321793378118344,0.0050592930251099,0.00737154257357135,0.00970584249311696,9.2709284,17.2309796,9,17,0.110342414745448,0.59233159366047,-0.364993279199696
"S4",50,5000,0,792,0,16,0.0032,389,0.0778,461,0.0922,-0.00855248904995231,-0.000992659796500912,0.00612055847828991,0.0145993272077234,9.230956,17.180544,9,17,0.360117665820977,0.522249504486781,-0.449103721872193
